architecture,combination,acceleration,fuel_cons_NEDC,category,engine,motors,fuel_cons_HWFET,fuel_cons_US06,fuel_cons_WLTC,cost,availability,weight
acceleration_e13565_a2_0,i1m96,4.327698467774712,3.6026157666611565,Parallel - 4WD,"1.5 l, 3 cylinders",96kW,3.815560950027733,5.085185127725178,3.2552370567894098,65700.0,0.9991899999999999,1540.0
acceleration_e13565_a2_0,i1m50,5.3942983243306575,3.5713218736886696,Parallel - 4WD,"1.5 l, 3 cylinders",50kW,3.791835986052901,5.052004263613617,3.225435365528176,62700.0,0.9991899999999999,1450.0
acceleration_e13565_a2_0,i1m33,6.087566763756072,3.5598067923551207,Parallel - 4WD,"1.5 l, 3 cylinders",33kW,3.783095234874941,inf,3.214422913830598,62300.0,0.9991899999999999,1392.0
acceleration_e13565_a2_0,i2m96,3.5427228426014463,3.2321140898940897,Parallel - 4WD,"2.4 l, 5 cylinders",96kW,3.4465189694490306,4.483711266428483,2.8571688864140485,67200.0,0.9991899999999999,1560.0
acceleration_e13565_a2_0,i2m50,4.2543046810252925,3.2044989708542952,Parallel - 4WD,"2.4 l, 5 cylinders",50kW,3.4260430533236588,4.4575363317149925,2.8312276271217773,64200.0,0.9991899999999999,1470.0
acceleration_e13565_a2_0,i2m33,4.713254468631601,3.1943531744864297,Parallel - 4WD,"2.4 l, 5 cylinders",33kW,3.418434476979572,4.4894362768964005,2.8216674502455885,63800.0,0.9991899999999999,1412.0
acceleration_e13565_a2_0,i3m96,4.347789872198081,3.681987463955904,Parallel - 4WD,"2.0 l, 4 cylinders",96kW,3.910004283512685,5.105952797145097,3.2952453591101296,68700.0,0.9991899999999999,1660.0
acceleration_e13565_a2_0,i3m50,5.665205369013552,3.6500379775520337,Parallel - 4WD,"2.0 l, 4 cylinders",50kW,3.886321020949433,5.074924595361856,3.2653203790196743,65700.0,0.9991899999999999,1570.0
acceleration_e13565_a2_0,i3m33,6.552402826654843,3.6382997330363165,Parallel - 4WD,"2.0 l, 4 cylinders",33kW,3.8775777709454418,5.109404245114047,3.25426219729372,65300.0,0.9991899999999999,1512.0
acceleration_e13854_a1_0,i1m96_96,3.5932238654759177,3.668228851320006,Parallel - 4WD,"1.5 l, 3 cylinders","96kW, 96kW",3.8656266114288487,5.155410722818909,3.5331297456931776,70750.0,0.9990000000000001,1881.0
acceleration_e13854_a1_0,i1m96_50,3.797947443479472,3.636721693411837,Parallel - 4WD,"1.5 l, 3 cylinders","96kW, 50kW",3.841584349315657,5.121748704293379,3.5032466345902966,67750.0,0.9990000000000001,1791.0
acceleration_e13854_a1_0,i1m96_33,3.932183973859166,3.6251235805934714,Parallel - 4WD,"1.5 l, 3 cylinders","96kW, 33kW",3.83276731873301,5.109314282740266,3.492970800218032,67350.0,0.9990000000000001,1733.0
acceleration_e13854_a1_0,i1m50_96,3.7979473268732917,3.636721693411842,Parallel - 4WD,"1.5 l, 3 cylinders","50kW, 96kW",3.841584349315657,5.121748704293818,3.503246634590307,67750.0,0.9990000000000001,1791.0
acceleration_e13854_a1_0,i1m50_50,4.267754918171844,3.605343527411373,Parallel - 4WD,"1.5 l, 3 cylinders","50kW, 50kW",3.8176347295253885,5.088109903167209,3.475441666004184,64750.0,0.9990000000000001,1701.0
acceleration_e13854_a1_0,i1m50_33,4.549446911319303,3.5937513146680016,Parallel - 4WD,"1.5 l, 3 cylinders","50kW, 33kW",3.8088113765283103,5.0757321882164375,3.4651660767685524,64350.0,0.9990000000000001,1643.0
acceleration_e13854_a1_0,i1m33_96,3.932183961609821,3.6251235805934714,Parallel - 4WD,"1.5 l, 3 cylinders","33kW, 96kW",3.8327673187330085,5.109314282740269,3.4929708002180244,67350.0,0.9990000000000001,1733.0
acceleration_e13854_a1_0,i1m33_50,4.549446823723131,3.593751314668004,Parallel - 4WD,"1.5 l, 3 cylinders","33kW, 50kW",3.808811376519991,5.0757321882164295,3.4651660768082007,64350.0,0.9990000000000001,1643.0
acceleration_e13854_a1_0,i1m33_33,4.922605702281892,3.5821616606865887,Parallel - 4WD,"1.5 l, 3 cylinders","33kW, 33kW",3.800064756432184,5.063504965371574,3.4542348711741395,63950.0,0.9990000000000001,1585.0
acceleration_e13854_a1_0,i2m96_96,3.0468087945363904,3.2901112627963847,Parallel - 4WD,"2.4 l, 5 cylinders","96kW, 96kW",3.4896832673701046,4.538081779666217,3.225866695184214,72250.0,0.9990000000000001,1901.0
acceleration_e13854_a1_0,i2m96_50,3.186806615657247,3.262239915481335,Parallel - 4WD,"2.4 l, 5 cylinders","96kW, 50kW",3.4689313864332663,4.511625166839777,3.1996392044091984,69250.0,0.9990000000000001,1811.0
acceleration_e13854_a1_0,i2m96_33,3.2771510009933915,3.251994457813636,Parallel - 4WD,"2.4 l, 5 cylinders","96kW, 33kW",3.4613992507089084,4.502494843689724,3.19072606798504,68850.0,0.9990000000000001,1753.0
acceleration_e13854_a1_0,i2m50_96,3.186806615659911,3.2622399154813366,Parallel - 4WD,"2.4 l, 5 cylinders","50kW, 96kW",3.4689313864332605,4.511625166839777,3.199639204409209,69250.0,0.9990000000000001,1811.0
acceleration_e13854_a1_0,i2m50_50,3.5022669069473267,3.2345232766632908,Parallel - 4WD,"2.4 l, 5 cylinders","50kW, 50kW",3.448322511861698,4.485876373838988,3.175521305422373,66250.0,0.9990000000000001,1721.0
acceleration_e13854_a1_0,i2m50_33,3.691254820653225,3.2242852850505783,Parallel - 4WD,"2.4 l, 5 cylinders","50kW, 33kW",3.4408148468804383,4.47556576084278,3.166608168517418,65850.0,0.9990000000000001,1663.0
acceleration_e13854_a1_0,i2m33_96,3.2771510555051906,3.2519944578136344,Parallel - 4WD,"2.4 l, 5 cylinders","33kW, 96kW",3.461399250709287,4.502494843689724,3.1907260679850387,68850.0,0.9990000000000001,1753.0
acceleration_e13854_a1_0,i2m33_50,3.691255119456855,3.2242852850505765,Parallel - 4WD,"2.4 l, 5 cylinders","33kW, 50kW",3.4408148468804414,4.47556576084278,3.166608168517416,65850.0,0.9990000000000001,1663.0
acceleration_e13854_a1_0,i2m33_33,3.940791076289515,3.2140505089386715,Parallel - 4WD,"2.4 l, 5 cylinders","33kW, 33kW",3.4332047843783355,4.466138889725519,3.15704865875644,65450.0,0.9990000000000001,1605.0
acceleration_e13854_a1_0,i3m96_96,3.4801198185329536,3.7477770590633286,Parallel - 4WD,"2.0 l, 4 cylinders","96kW, 96kW",3.95983313167503,5.171674525339342,3.6607294794306986,73750.0,0.9990000000000001,2001.0
acceleration_e13854_a1_0,i3m96_50,3.7181612404360758,3.7162394541618062,Parallel - 4WD,"2.0 l, 4 cylinders","96kW, 50kW",3.9359321485515113,5.140205952822926,3.6304743128453847,70750.0,0.9990000000000001,1911.0
acceleration_e13854_a1_0,i3m96_33,3.875670412836064,3.7046298884040016,Parallel - 4WD,"2.0 l, 4 cylinders","96kW, 33kW",3.9271151546427214,5.128489856988651,3.6201680857197913,70350.0,0.9990000000000001,1853.0
acceleration_e13854_a1_0,i3m50_96,3.7181612404360758,3.7162394541618062,Parallel - 4WD,"2.0 l, 4 cylinders","50kW, 96kW",3.935932148551512,5.14020595282244,3.630474313553824,70750.0,0.9990000000000001,1911.0
acceleration_e13854_a1_0,i3m50_50,4.275422619944298,3.684774763820734,Parallel - 4WD,"2.0 l, 4 cylinders","50kW, 50kW",3.912108755197156,5.108560729268022,3.6025868736095332,67750.0,0.9990000000000001,1821.0
acceleration_e13854_a1_0,i3m50_33,4.617195523691524,3.6729298559542163,Parallel - 4WD,"2.0 l, 4 cylinders","50kW, 33kW",3.903296289888404,5.097292774855368,3.5922806457541347,67350.0,0.9990000000000001,1763.0
acceleration_e13854_a1_0,i3m33_96,3.8756706384894533,3.7046298884041033,Parallel - 4WD,"2.0 l, 4 cylinders","33kW, 96kW",3.927115154642713,5.128489856988651,3.6201680857198006,70350.0,0.9990000000000001,1853.0
acceleration_e13854_a1_0,i3m33_50,4.617195592229689,3.6729298559542163,Parallel - 4WD,"2.0 l, 4 cylinders","33kW, 50kW",3.90329628988706,5.097292774856107,3.5922806457541285,67350.0,0.9990000000000001,1763.0
acceleration_e13854_a1_0,i3m33_33,5.076110891326352,3.661088690674164,Parallel - 4WD,"2.0 l, 4 cylinders","33kW, 33kW",3.8945509573645936,5.085229460693125,3.581231361634754,66950.0,0.9990000000000001,1705.0
acceleration_e13565_a1_0,i1m96,4.3276984666519525,3.6026157666611587,Parallel - 4WD,"1.5 l, 3 cylinders",96kW,3.815560950027733,5.085185127725153,3.2552370567894093,65700.0,0.9991899999999999,1540.0
acceleration_e13565_a1_0,i1m50,5.394298021633562,3.571321873688667,Parallel - 4WD,"1.5 l, 3 cylinders",50kW,3.791835986052901,5.052004263613617,3.225435365528176,62700.0,0.9991899999999999,1450.0
acceleration_e13565_a1_0,i1m33,6.08756681718438,3.5598067923551207,Parallel - 4WD,"1.5 l, 3 cylinders",33kW,3.783095234874941,inf,3.2144229138305964,62300.0,0.9991899999999999,1392.0
acceleration_e13565_a1_0,i2m96,3.542722825046995,3.2321140898940897,Parallel - 4WD,"2.4 l, 5 cylinders",96kW,3.4465189694478813,4.483711266428486,2.8571688864140485,67200.0,0.9991899999999999,1560.0
acceleration_e13565_a1_0,i2m50,4.2543046131492535,3.204498970854293,Parallel - 4WD,"2.4 l, 5 cylinders",50kW,3.426043053323664,4.457536331714995,2.8312276271217787,64200.0,0.9991899999999999,1470.0
acceleration_e13565_a1_0,i2m33,4.713254461707317,3.1943531744864297,Parallel - 4WD,"2.4 l, 5 cylinders",33kW,3.4184344769795696,4.489436276896399,2.8216674502455894,63800.0,0.9991899999999999,1412.0
acceleration_e13565_a1_0,i3m96,4.3477900557850315,3.681987463955904,Parallel - 4WD,"2.0 l, 4 cylinders",96kW,3.910004283512688,5.105952797145084,3.2952453591101296,68700.0,0.9991899999999999,1660.0
acceleration_e13565_a1_0,i3m50,5.665205143566098,3.650037977552036,Parallel - 4WD,"2.0 l, 4 cylinders",50kW,3.886321020949433,5.074924595361856,3.265320379019674,65700.0,0.9991899999999999,1570.0
acceleration_e13565_a1_0,i3m33,6.552402652448827,3.6382997330363183,Parallel - 4WD,"2.0 l, 4 cylinders",33kW,3.8775777709454418,5.109404245114048,3.25426219729372,65300.0,0.9991899999999999,1512.0
acceleration_e9450_a1_0,i1m96,9.3014961453542,3.3870892310894822,Series - 2WD,"1.5 l, 3 cylinders",96kW,3.5507312983357395,5.022196673375935,3.0255215339327264,56100.0,0.9992,1570.0
acceleration_e9450_a1_0,i1m50,inf,3.3526969801748967,Series - 2WD,"1.5 l, 3 cylinders",50kW,3.523592091980006,inf,2.9927092294854947,53100.0,0.9992,1480.0
acceleration_e9450_a1_0,i1m33,20.0,3.3400500641810416,Series - 2WD,"1.5 l, 3 cylinders",33kW,3.513580754572323,inf,2.9853466186162083,52700.0,0.9992,1422.0
acceleration_e9450_a1_0,i2m96,9.301495854298778,2.8853469267355742,Series - 2WD,"2.4 l, 5 cylinders",96kW,3.0225273675060897,4.288858293273953,2.5301930066463387,57600.0,0.9992,1590.0
acceleration_e9450_a1_0,i2m50,inf,2.856317403228532,Series - 2WD,"2.4 l, 5 cylinders",50kW,2.9992623816766524,inf,2.5047215883659604,54600.0,0.9992,1500.0
acceleration_e9450_a1_0,i2m33,inf,2.8456378890186738,Series - 2WD,"2.4 l, 5 cylinders",33kW,2.990679419301418,inf,2.4953448260986653,54200.0,0.9992,1442.0
acceleration_e9450_a1_0,i3m96,9.301494792078703,3.386160385029492,Series - 2WD,"2.0 l, 4 cylinders",96kW,3.5511607948508384,5.024058444064284,2.9936081632204226,59100.0,0.9992,1690.0
acceleration_e9450_a1_0,i3m50,inf,3.351871920783552,Series - 2WD,"2.0 l, 4 cylinders",50kW,3.524010189808198,inf,2.9654293822226525,56100.0,0.9992,1600.0
acceleration_e9450_a1_0,i3m33,inf,3.3392608662030256,Series - 2WD,"2.0 l, 4 cylinders",33kW,3.5139940624442354,inf,2.9543941230299016,55700.0,0.9992,1542.0
acceleration_e17202_a1_0,i1m96_96_96,3.373706013094933,3.5320503869638964,Series - 4WD,"1.5 l, 3 cylinders","96kW, 96kW, 96kW",3.664747483851064,5.17372966826829,3.1475572317566174,66750.0,0.998771,2281.0
acceleration_e17202_a1_0,i1m96_96_50,4.011663583125108,3.497165409289464,Series - 4WD,"1.5 l, 3 cylinders","96kW, 96kW, 50kW",3.6372951430292906,5.137415238516535,3.118366781810056,63750.0,0.998771,2191.0
acceleration_e17202_a1_0,i1m96_96_33,4.426760129623382,3.484285976725773,Series - 4WD,"1.5 l, 3 cylinders","96kW, 96kW, 33kW",3.627209761605346,5.123996262566525,3.1080204655456134,63350.0,0.998771,2133.0
acceleration_e17202_a1_0,i1m96_50_96,3.5977066096966404,3.497165409289465,Series - 4WD,"1.5 l, 3 cylinders","96kW, 50kW, 96kW",3.6372951430292906,5.137415238516534,3.118586911629882,63750.0,0.998771,2191.0
acceleration_e17202_a1_0,i1m96_50_50,4.358281982167768,3.4623311325951143,Series - 4WD,"1.5 l, 3 cylinders","96kW, 50kW, 50kW",3.61000874603334,5.101106826364647,3.0866805985595493,60750.0,0.998771,2101.0
acceleration_e17202_a1_0,i1m96_50_33,4.8470291987610805,3.4494704233909084,Series - 4WD,"1.5 l, 3 cylinders","96kW, 50kW, 33kW",3.5999271731721207,5.087690103514486,3.0788355944293824,60350.0,0.998771,2043.0
acceleration_e17202_a1_0,i1m96_33_96,3.7435189644471634,3.4842859767257712,Series - 4WD,"1.5 l, 3 cylinders","96kW, 33kW, 96kW",3.6272097616053456,5.123996262566521,3.1080204655456174,63350.0,0.998771,2133.0
acceleration_e17202_a1_0,i1m96_33_50,4.5966162680768985,3.4494704233909097,Series - 4WD,"1.5 l, 3 cylinders","96kW, 33kW, 50kW",3.5999271731721207,5.087690103514488,3.078835594429384,60350.0,0.998771,2043.0
